r_cm,snr,area_norm_r,energy_density,width_rel,snr_variance,echo_consistency,material
85.9,29.04,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.9,29.04,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.8,29.44,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.8,29.44,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.8,29.44,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.8,29.44,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.8,29.44,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.8,29.44,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.9,29.17,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.9,29.17,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.9,29.17,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.9,29.17,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.9,29.17,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.8,29.67,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.8,29.67,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.8,29.67,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.8,29.67,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.8,29.67,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.8,33.42,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
85.8,33.42,2384.721143195183,272.549369696695,8.775590355511778,1.5103860000000005,2153.421575835766,Cardboard
97.1,48.55,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.1,48.55,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,45.5,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,45.5,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,45.5,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,45.5,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,45.5,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,46.83,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,46.83,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,46.83,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,46.83,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,46.83,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,43.66,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,43.66,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,43.66,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,43.66,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,43.66,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,43.66,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
